,Image,F1,Jaccard,Recall,Precision
152,2992.png,0.9573968466957397,0.9182754182754183,0.9677856900644286,0.9472286757384667
153,1968.png,0.9029057406094969,0.8229974160206718,0.8684389911383776,0.9402214022140222
154,1191.png,0.902418682235196,0.8221884498480243,0.9185059422750425,0.8868852459016393
155,2956.png,0.9089683074848279,0.8331273176761433,0.9132791327913279,0.9046979865771813
156,2187.png,0.9162210338680927,0.8453947368421053,0.9846743295019157,0.8566666666666667
157,2248.png,0.8674999999999999,0.7660044150110376,0.7815315315315315,0.9747191011235955
158,1452.png,0.9365244536940688,0.8806262230919765,0.9090909090909091,0.9656652360515021
159,2525.png,0.8296682817741335,0.7089171974522293,0.7967072297780959,0.8654743390357699
160,1108.png,0.8057901085645355,0.6747474747474748,0.8308457711442786,0.7822014051522248
161,2787.png,0.8714107365792759,0.7721238938053098,0.8725,0.8703241895261845
162,602.png,0.8520432127759512,0.7422258592471358,0.7428337428337428,0.998898678414097
163,227.png,0.8142414860681115,0.6866840731070496,0.9704797047970479,0.7013333333333334
164,1567.png,0.9560117302052785,0.9157303370786517,0.9532163742690059,0.9588235294117647
165,1076.png,0.08637236084452973,0.04513540621865597,0.046948356807511735,0.5389221556886228
166,2565.png,0.8134391355731891,0.6855435401252135,0.6968469771478161,0.9768856447688564
167,1075.png,0.0,0.0,0.0,0.0
168,824.png,0.22459059007018456,0.12650073206442167,0.12650073206442167,1.0
169,2543.png,0.9191090269636577,0.8503253796095445,1.0,0.8503253796095445
170,460.png,0.9600665557404325,0.9232,0.9428104575163399,0.9779661016949153
171,1751.png,0.9351145038167938,0.8781362007168458,0.9423076923076923,0.928030303030303
172,1390.png,0.9285714285714286,0.8666666666666667,0.8748317631224765,0.989345509893455
173,754.png,0.6462809917355372,0.47741147741147744,0.480049109883364,0.988621997471555
174,117.png,0.5529536987759447,0.3821257815373299,0.3955081842405786,0.918656056587091
175,941.png,0.8850855745721271,0.793859649122807,0.9250425894378195,0.8484375
176,347.png,0.9588045234248789,0.9208688906128782,0.9511217948717948,0.9666123778501629
177,247.png,0.9107763615295482,0.8361702127659575,0.9800498753117207,0.8506493506493507
178,837.png,0.6636500754147813,0.4966139954853273,0.502283105022831,0.9777777777777777
179,1225.png,0.8491228070175438,0.7378048780487805,0.7707006369426752,0.9453125
180,1428.png,0.9668449197860963,0.9358178053830227,0.9535864978902954,0.9804772234273319
181,2926.png,0.07987220447284345,0.04159733777038269,0.04655493482309125,0.2808988764044944
182,1774.png,0.9053968253968255,0.8271461716937355,0.9727148703956344,0.8467933491686461
183,2107.png,0.9113924050632911,0.8372093023255814,0.8876712328767123,0.9364161849710982
184,552.png,0.9134241245136187,0.8406445837063563,0.9700413223140496,0.8630514705882353
185,925.png,0.9613601236476044,0.9255952380952381,0.9510703363914373,0.971875
186,284.png,0.031007751937984496,0.015748031496062992,0.015748031496062992,1.0
187,2780.png,0.0,0.0,0.0,0.0
188,860.png,0.7273543943704148,0.5715294117647058,0.5742316784869976,0.9918334013883218
189,375.png,0.9781566329248801,0.9572471324296142,0.9832202784719742,0.9731448763250884
190,834.png,0.8834399431414357,0.7912157861234882,0.8878571428571429,0.879066478076379
191,2642.png,0.0,0.0,0.0,0.0
192,1375.png,0.8041237113402061,0.6724137931034483,1.0,0.6724137931034483
193,681.png,0.9774436090225564,0.9558823529411765,0.9786053882725833,0.9762845849802372
194,384.png,0.9705381056732407,0.9427625354777672,0.9925298804780877,0.9494997617913292
